Name,Tc (K),Source,Page
CoFe2O4,790.0,4 V8,212
CoFe2O4,790.0,2,3
CoFe2O4,769.0,2,3
CoFe2O4,673.0,2,3
CoFe2O4,790.0,1,423
CoFeCoO4,450.0,2,3
CoFeRhO4,355.0,2,3
CoMn2O4,95.0,2,3
CoMn2O4,105.0,2,3
CoMnO3,391.0,2,3
CoMnO3,394.0,2,3
CoMnSb,490.0,4 V4,279
CoO0.4ZnO0.6Fe2O3,380.0,2,4
CoO0.6ZnO0.4Fe2O3,550.0,2,4
CoO0.8ZnO0.2Fe2O3,695.0,2,4
CoOZnFe2O3,800.0,2,4
CoPt,813.0,2,4
CoPt,840.0,1,392
CoPt,840.0,1,377
CoPt,840.0,1,375
CoRh0.35Cr1.65S4,200.0,2,4
CoRh1.5Cr0.5S4,50.0,2,4
CoS1.97,122.0,2,4
CoS2,124.0,3,NA
CoS2,122.0,2,3
CoS2,116.0,2,4
CoS2,121.13,3,NA
CoS2,122.0,2,3
CoS2,124.0,3,NA
CoS2,130.0,2,4
CoS2,119.1,3,NA
CoS2,110.0,2,4
CoS2,121.5,3,NA
CoS2,124.0,2,4
CoS2,110.0,1,431
CoS2,116.75,3,NA
CoS2,118.0,3,NA
CoS2,120.0,3,NA
CoS2,121.0,3,NA
CoS2,122.0,3,NA
CoS2,121.13,3,NA
CoS2,122.0,2,4
CoS2,122.0,3,NA
CoS2,121.0,3,NA
CoS2,124.0,4 V6,253
CoSe0.1S1.9,90.0,2,4
CoSe0.1S1.9,90.0,2,3
CoSe0.25S1.75,17.0,2,4
CoSe0.25S1.75,40.0,2,4
CoSe0.25S1.75,40.0,2,3
CoV2O4,145.0,2,4
CoVSb,58.0,4 V4,279
CoVSb,58.0,2,4
Cr0.05Co0.95S2,170.0,2,4
Cr0.09Co0.91S2,210.0,2,4
Cr0.18Co0.82S2,300.0,2,4
Cr0.25Co0.75S2,335.0,2,4
Cr0.25NbSe2,79.0,2,4
Cr0.25Ni0.75,340.0,3,NA
Cr0.25Ni0.75,550.0,3,NA
Cr0.25Ni0.75,217.0,3,NA
Cr0.33NbS2,160.0,2,4
Cr0.33NbSe2,105.0,2,4
Cr0.33TaS2,170.0,2,5
Cr0.39Co0.61S2,275.0,2,4
Cr0.4Mn0.6As,160.0,2,4
Cr0.5Fe0.5,179.0,3,NA
Cr0.5Fe0.5,1007.0,3,NA
Cr0.5Fe0.5,1010.0,3,NA
Cr0.5Fe0.5,997.0,3,NA
Cr0.5Fe0.5,997.0,3,NA
Cr0.5Fe0.5,160.0,3,NA
Cr0.5Fe0.5,260.0,3,NA
Cr0.5Fe0.5,330.0,3,NA
Cr0.5Fe0.5,60.0,3,NA
Cr0.66NbS2,65.0,2,4
Cr0.66TaSe2,120.0,2,5
Cr0.67Te,354.0,3,NA
Cr0.67Te,220.0,3,NA
Cr0.67Te,345.0,3,NA
Cr0.67Te,345.0,3,NA
Cr0.67Te,220.0,3,NA
Cr0.75Fe0.25Sb,80.0,2,4
Cr0.92V0.08O2,344.0,2,5
Cr0.95V0.05O2,381.5,2,5
Cr0.98V0.02O2,385.5,2,5
Cr11Ge19,86.0,2,4
Cr2S3,110.0,2,5
Cr2S3,833.0,2,5
Cr2S3,120.0,2,5
Cr2Te3,180.0,4 V6,260
Cr2Te3,303.0,2,5
Cr2Te3,182.0,2,5
Cr2Te3,322.0,3,NA
Cr2Te3,172.0,2,5
Cr3As2,213.0,3,NA
Cr3As2,257.0,2,4
Cr3As2,243.0,2,4
Cr3As2,223.0,2,4
Cr3As2,213.0,2,4
Cr3Se4,70.0,3,NA
Cr3Te4,325.0,4 V6,260
Cr3Te4,325.0,3,NA
Cr3Te4,335.0,3,NA
Cr3Te4,295.0,3,NA
Cr3Te4,300.0,2,5
